产品简称,当年收益%
文熙稳盈壹号,0
雷根久盈,0
联合清桦皓,0
蓝海六号,0
黑天鹅猎户座3期,0
暖暖,0
鑫琻汇成长一期,0
私募学院菁英245号,0
大学仕5号,0
和聚鼎宝金选财富2号,0
培蓝壹号,-0.01
稳进9期,-0.01
和正成长量化8号,-0.02
招商汇智之金百镕,-0.02
沱水二号,-0.03
聚利3期,-0.03
知本合丰11号,-0.03
稳健流动性管理,-0.04
坤元TOT,-0.05
锐进35期,-0.05
千宇资本煮酒一号,-0.05
兆信1期,-0.05
金百镕6期,-0.06
宇迪乾睿稳增长1号,-0.06
鼎实量化FOF一期,-0.07
安盈仁睿-成长1号,-0.07
和熙10号,-0.08
沣沛精选,-0.08
中子星九尾B期,-0.09
量化对冲吸利2号,-0.1
象学一期,-0.1
巨杉海外视野1A号,-0.1
小牛优选一号,-0.1
翼丰恒昌202号,-0.1
弘济外延增长,-0.1
磐山量化1期,-0.1
展博新蓝筹一号,-0.1
中国梦4期,-0.1
增增发1号,-0.1
万丰友方稳健成长1期,-0.11
康成亨量化对冲2号,-0.13
万丰友方贯升2号,-0.14
聚沣精选,-0.14
鑫安6期,-0.15
旭诺成长对冲1号,-0.15
偏锋1期,-0.15
长江超越理财量化6号,-0.16
安天诚鼎诚2号,-0.18
励石2号,-0.18
八零后一期,-0.19
博润价值成长,-0.2
未然1期,-0.2
民享紫晶稳健1号,-0.2
大隐价值二号,-0.2
成都红泰嘉盈一号,-0.2
红象八期,-0.2
展博10期1号,-0.2
旱资舟对冲7期,-0.2
荣辉6号,-0.2
金百镕5期,-0.21
浦来德天天开心对冲1号,-0.22
惠嘉稳健成长,-0.23
投资精英之清和泉,-0.23
景泰富尊一期,-0.29
伏明转型成长一期,-0.29
博健精选1号,-0.3
乾阳时势基金,-0.3
成源一期,-0.3
金辇精选1号,-0.3
天辰1号基金,-0.3
英蓝价值动量3号,-0.3
众乐未名量化对冲五号..,-0.3
恒星1号,-0.3
和熙成长型3号,-0.31
明河价值一期,-0.33
懿和五期(长安投资373..,-0.34
和谐并购基金8号,-0.34
明星9号,-0.35
中融财富福禧1号,-0.36
中金对冲1号,-0.39
薛神投资量化选股1号,-0.4
东达华东进取一期,-0.4
凯石复元成长2号,-0.4
淳麟2号,-0.4
展博新蓝筹一号A,-0.4
恒天真鑫赢嘉一号,-0.4
胡杨A股消费3号,-0.4
投资精英之博道,-0.43
和聚玖享1号,-0.43
知本合丰1号,-0.43
价值精选5期,-0.44
太平洋红珊瑚大消费,-0.45
创世2号,-0.46
温瑞福1号,-0.48
乾元泰和12号,-0.48
国泰君安君享新利七号,-0.48
财富广金恒富5号,-0.5
华英绝对回报A,-0.5
