"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"85","红土创新红石5号",64.9,"70",73.8,78.9
"529","泓璞2号",25.54,"26.67",28.07,45.98
"448","鸿道1期",29.01,"32.3",33.61,30.84
"515","鸿道2期",25.96,"27.72",30.5,26.71
"697","鸿道3期",19.11,"23.43",24.29,22.84
"763","鸿道4期",16.64,"18.96",20.03,16.87
"462","鸿道精英1号",28.48,"31.72",32.98,30.16
"152","鸿逸1号",54.34,"85.68",71.99,71.18
"888","鸿逸安泰二号基金",11.47,"23.21",22.86,20.21
"49","鸿逸安泰一号",82.77,"91.69",101.18,71.57
"1065","鸿逸楚天一号",4.4,"24.44",19.77,20.66
"912","鸿逸泰瑞一号",10.58,"34.75",25.7,27.21
"414","厚道量化对冲1号",31,"35.12",35.22,36.87
"81","华邦增长1号",66.14,"43.67",80.29,77.96
"257","华尔进取1号",41.29,"47.43",53.84,59.82
"1190","华福兴发精选",-1.84,"-0.02",-0.62,-0.41
"107","华骏海石1号",59.97,"66.39",62.83,63
"494","华西神农复兴",26.81,"23.67",25.13,28.05
"1367","华夏财富阿尔法1号",-12.75,"-11.43",-8.5,-11.7
"941","华鑫鑫财富智享3号",9.4,"18.43",22.76,32.58
"673","黄金优选10期3号",20.12,"19.94",12.44,11.8
"636","黄金优选12期1号",21.54,"31.08",36.86,41.66
"613","黄金优选12期2号",22.18,"31.52",37.19,41.92
"640","黄金优选12期3号",21.42,"30.91",36.65,41.44
"612","黄金优选12期4号",22.34,"31.78",37.49,42.25
"645","黄金优选12期5号",21.14,"28.96",33.7,37.72
"788","黄金优选12期6号",15.77,"24.61",29.95,34.41
"647","黄金优选12期7号",21.12,"30.59",36.33,41.09
"700","黄金优选12期8号",18.86,"28.13",33.68,38.3
"569","黄金优选12期9号",23.92,"33.52",39.33,44.17
"928","黄金优选15期1号",9.79,"15.01",20.08,27.88
"1193","黄金优选17期1号",-1.91,"7.58",6.69,9.43
"1194","黄金优选17期2号",-1.91,"7.58",6.69,9.43
